title,url,date,location,source
ElevenLabs × LFH Build Weekend (powered by Bolt.new’s $1M Hackathon),https://lu.ma/nugckc58,2025-06-28,"London, England",luma
{Tech: Europe} London AI Hack,https://lu.ma/london-hack,2025-06-28,Techspace Goswell Road,luma
HackWimbledon/Code,https://lu.ma/5ryj5bg4,2025-07-06,Wimbletech,luma
