title,url,date,location,source
Stellar Ambassador UK Chapter x UK AI Agent Hackathon,https://lu.ma/fqnfyu54,2025-07-26,Imperial College Business School,luma
Pre-Hackathon Meet Up,https://lu.ma/lhm8w6qb,2025-07-26,Imperial College Business School,luma
SoTA’s Human Augmentation Hackathon,https://lu.ma/1au1lxbt,2025-07-26,"London, England",luma
