title,url,date,location,source
World Wild Web: AI Agents & MCP Server Hack Night,https://lu.ma/vhimpyz6,6:00 PM,Cloudflare,luma
Claude 4 Hack London,https://lu.ma/1hkhek5n,5:30 PM,London England,luma
Vibe Coding Hack by Encode,https://lu.ma/5k1gfcc6,10:00 AM,Encode Hub,luma
Hacking Agents Hackathon London,https://lu.ma/hacking-agents-hackathon-london,5:00 PM,London England,luma
Black AI Hackathon,https://lu.ma/8n2l33hr,9:00 AM,Imperial College London,luma
AI Agents Hackathon - from MIT & Harvard researchers - NANDA - London,https://lu.ma/rfdg2axe,10:00 AM,Imperial College London,luma
