title,url,date,location,source
World Wild Web: AI Agents & MCP Server Hack Night,https://lu.ma/vhimpyz6,"tomorrow
wednesday",Cloudflare,luma
Claude 4 Hack London,https://lu.ma/1hkhek5n,"jun 19
thursday","London, England",luma
Vibe Coding Hack by Encode,https://lu.ma/5k1gfcc6,"jun 20
friday",Encode Hub,luma
Hacking Agents Hackathon London,https://lu.ma/hacking-agents-hackathon-london,"jun 20
friday","London, England",luma
Black AI Hackathon,https://lu.ma/8n2l33hr,"jun 21
saturday",Imperial College London,luma
AI Agents Hackathon - from MIT & Harvard researchers - NANDA - London,https://lu.ma/rfdg2axe,"jun 22
sunday",Imperial College London,luma
