title,url,date,location,source
World Wild Web: AI Agents & MCP Server Hack Night,https://lu.ma/vhimpyz6,,Cloudflare,luma
Claude 4 Hack London,https://lu.ma/1hkhek5n,,"London, England",luma
Vibe Coding Hack by Encode,https://lu.ma/5k1gfcc6,,Encode Hub,luma
Hacking Agents Hackathon London,https://lu.ma/hacking-agents-hackathon-london,,"London, England",luma
Black AI Hackathon,https://lu.ma/8n2l33hr,,Imperial College London,luma
AI Agents Hackathon - from MIT & Harvard researchers - NANDA - London,https://lu.ma/rfdg2axe,,Imperial College London,luma
