title,url,date,location,source
Claude 4 Hack London,https://lu.ma/1hkhek5n,,London,serpapi
Build Sessions: Hack with London's Onchain Community!,https://lu.ma/u8gb2ykh,,London,serpapi
Cursor Vibe Coding Hack Night – London,https://lu.ma/wxb7vf4l,,,serpapi
EF Fall Hack,https://lu.ma/as4ojb29,,,serpapi
London ClimateHack Meetup,https://lu.ma/u0ai37kj,,,serpapi
Vibe Coding Hack by Encode,https://lu.ma/5k1gfcc6,,,serpapi
Solana Hacker House - London,https://lu.ma/london-hh-2024,,,serpapi
{Tech: Europe} London AI Hack,https://lu.ma/london-hack,,,serpapi
